"Open","High","Low","Close","Volume","Adjusted","date"
4.64,4.64,4.64,4.64,0,4.39337,"2014-01-01"
4.66,4.69,4.58,4.63,12947400,4.38391,"2014-01-02"
4.62,4.71,4.61,4.65,13378200,4.40284,"2014-01-03"
4.66,4.69,4.6,4.62,8479100,4.37444,"2014-01-06"
4.62,4.69,4.53,4.66,8562100,4.41231,"2014-01-07"
4.66,4.68,4.57,4.61,5307700,4.36497,"2014-01-08"
4.61,4.66,4.52,4.56,7061700,4.31763,"2014-01-09"
4.56,4.56,4.43,4.44,6095000,4.20401,"2014-01-10"
4.47,4.48,4.35,4.42,5554400,4.18507,"2014-01-13"
4.41,4.5,4.39,4.49,10818300,4.25135,"2014-01-14"
4.5,4.51,4.41,4.5,8104200,4.26082,"2014-01-15"
4.49,4.74,4.49,4.66,13271100,4.41231,"2014-01-16"
4.63,4.64,4.5,4.52,7051600,4.27975,"2014-01-17"
4.51,4.55,4.3,4.42,8356400,4.18507,"2014-01-20"
4.39,4.46,4.38,4.41,9869900,4.1756,"2014-01-21"
4.43,4.59,4.38,4.59,17478500,4.34603,"2014-01-22"
4.58,4.86,4.58,4.7,28602900,4.45019,"2014-01-23"
4.65,4.75,4.63,4.7,14880100,4.45019,"2014-01-24"
4.68,4.74,4.47,4.48,27889000,4.24188,"2014-01-27"
4.5,4.55,4.45,4.51,11143900,4.27028,"2014-01-28"
4.5,4.55,4.47,4.5,7676100,4.26082,"2014-01-29"
4.5,4.51,4.43,4.47,5134200,4.23241,"2014-01-30"
4.47,4.47,4.47,4.47,0,4.23241,"2014-01-31"
4.47,4.47,4.47,4.47,0,4.23241,"2014-02-03"
4.47,4.47,4.47,4.47,0,4.23241,"2014-02-05"
4.47,4.47,4.47,4.47,0,4.23241,"2014-02-06"
4.46,4.5,4.4,4.49,5195400,4.25135,"2014-02-07"
4.49,4.62,4.47,4.61,24542400,4.36497,"2014-02-10"
4.61,4.66,4.55,4.61,27100300,4.36497,"2014-02-11"
4.62,4.7,4.59,4.69,23178600,4.44072,"2014-02-12"
4.67,4.69,4.61,4.61,18544400,4.36497,"2014-02-13"
4.62,4.7,4.6,4.7,15646400,4.45019,"2014-02-14"
4.71,4.75,4.67,4.73,17701800,4.47859,"2014-02-17"
4.74,4.75,4.6,4.66,24862800,4.41231,"2014-02-18"
4.65,4.73,4.62,4.68,20212200,4.43125,"2014-02-19"
4.69,4.9,4.68,4.82,52064700,4.56381,"2014-02-20"
4.9,4.9,4.64,4.68,28131200,4.43125,"2014-02-21"
4.58,4.63,4.45,4.49,22320100,4.25135,"2014-02-24"
4.5,4.58,4.36,4.39,16071000,4.15666,"2014-02-25"
4.4,4.43,4.33,4.42,8900400,4.18507,"2014-02-26"
4.46,4.86,4.42,4.74,40142200,4.48806,"2014-02-27"
4.65,4.85,4.64,4.79,37249900,4.5354,"2014-02-28"
4.77,5.05,4.72,4.9,44340900,4.63956,"2014-03-03"
4.88,4.95,4.75,4.94,25613200,4.67743,"2014-03-04"
4.97,5.11,4.83,4.92,40224600,4.65849,"2014-03-05"
4.88,4.92,4.77,4.81,22617000,4.55434,"2014-03-06"
4.81,4.88,4.77,4.84,17386300,4.58274,"2014-03-07"
4.78,4.82,4.47,4.49,22633800,4.25135,"2014-03-10"
4.47,4.59,4.42,4.58,14305500,4.33656,"2014-03-11"
4.55,4.59,4.45,4.56,11029800,4.31763,"2014-03-12"
4.82,4.98,4.72,4.81,34771400,4.55434,"2014-03-13"
4.72,4.79,4.65,4.72,20998400,4.46912,"2014-03-14"
4.72,4.76,4.65,4.76,10860900,4.507,"2014-03-17"
4.77,4.98,4.69,4.86,29772400,4.60168,"2014-03-18"
4.82,4.9,4.77,4.84,19860800,4.58274,"2014-03-19"
4.8,4.83,4.67,4.67,19482000,4.42178,"2014-03-20"
4.65,4.85,4.61,4.84,19157000,4.58274,"2014-03-21"
4.88,4.93,4.8,4.86,23331100,4.60168,"2014-03-24"
4.87,5.13,4.85,5.01,46671100,4.74371,"2014-03-25"
4.99,4.99,4.89,4.93,20618100,4.66796,"2014-03-26"
4.92,5.02,4.85,4.86,22484800,4.60168,"2014-03-27"
4.86,4.96,4.83,4.86,14008100,4.60168,"2014-03-28"
4.87,4.9,4.76,4.81,12918900,4.55434,"2014-03-31"
4.79,4.85,4.78,4.82,9082900,4.56381,"2014-04-01"
4.83,4.85,4.8,4.83,10817900,4.57328,"2014-04-02"
4.83,4.87,4.76,4.78,9728400,4.52593,"2014-04-03"
