"Open","High","Low","Close","Volume","Adjusted","date"
9.4,9.4,9.4,9.4,0,4.19915,"2013-01-01"
9.4,9.4,9.4,9.4,0,4.19915,"2013-01-02"
9.4,9.4,9.4,9.4,0,4.19915,"2013-01-03"
9.51,9.55,9.15,9.3,53957400,4.15447,"2013-01-04"
9.24,9.35,9.15,9.25,36082300,4.13214,"2013-01-07"
9.25,9.32,9.02,9.09,51157200,4.06066,"2013-01-08"
9.07,9.17,8.98,9,47110200,4.02046,"2013-01-09"
9.02,9.22,8.95,9.04,43783800,4.03833,"2013-01-10"
9.14,9.28,8.77,8.85,90893700,3.95345,"2013-01-11"
8.81,9.32,8.81,9.26,81522000,4.13661,"2013-01-14"
9.26,9.36,9.22,9.3,54662900,4.15447,"2013-01-15"
9.3,9.36,9.02,9.15,50884600,4.08747,"2013-01-16"
9.12,9.42,9.02,9.23,67803500,4.1232,"2013-01-17"
9.31,9.45,9.17,9.29,68699300,4.15001,"2013-01-18"
9.34,9.42,9.2,9.35,50714400,4.17681,"2013-01-21"
9.34,9.75,9.23,9.45,106560900,4.22148,"2013-01-22"
9.37,9.82,9.3,9.81,117472300,4.3823,"2013-01-23"
9.75,10.14,9.42,9.58,155006800,4.27955,"2013-01-24"
9.55,9.58,9.35,9.42,52198600,4.20808,"2013-01-25"
9.45,9.94,9.45,9.9,81809200,4.4225,"2013-01-28"
9.88,10.25,9.81,10.12,144554600,4.52078,"2013-01-29"
10.14,10.41,9.95,10.13,85948400,4.52525,"2013-01-30"
10.13,10.58,10.07,10.27,81102800,4.58779,"2013-01-31"
10.18,10.99,10.11,10.89,119459900,4.86476,"2013-02-01"
11.13,11.42,10.87,10.92,154457700,4.87816,"2013-02-04"
10.8,11.14,10.75,10.98,82850000,4.90496,"2013-02-05"
11.05,11.3,10.89,10.92,107091700,4.87816,"2013-02-06"
11.05,11.22,10.61,11.04,107300600,4.93176,"2013-02-07"
11,11.15,10.82,10.99,57800500,4.90943,"2013-02-08"
10.99,10.99,10.99,10.99,0,4.90943,"2013-02-11"
10.99,10.99,10.99,10.99,0,4.90943,"2013-02-12"
10.99,10.99,10.99,10.99,0,4.90943,"2013-02-13"
10.99,10.99,10.99,10.99,0,4.90943,"2013-02-14"
10.99,10.99,10.99,10.99,0,4.90943,"2013-02-15"
11.05,11.09,10.56,10.56,73305900,4.71734,"2013-02-18"
10.56,10.58,10.23,10.32,62103900,4.61013,"2013-02-19"
10.32,10.49,10.15,10.44,53704700,4.66373,"2013-02-20"
10.26,10.28,9.86,9.94,74379300,4.44037,"2013-02-21"
9.95,10.06,9.84,9.88,42624700,4.41357,"2013-02-22"
9.98,10.14,9.89,9.97,42750600,4.45377,"2013-02-25"
9.87,10.17,9.69,9.85,70420400,4.40017,"2013-02-26"
9.91,10.18,9.91,10.08,66892800,4.50291,"2013-02-27"
10.16,10.53,10.02,10.47,113888500,4.67713,"2013-02-28"
10.42,10.54,10.19,10.4,73783300,4.64586,"2013-03-01"
10.24,10.24,9.51,9.66,96641600,4.31529,"2013-03-04"
9.71,10.12,9.64,10.06,65942700,4.49398,"2013-03-05"
10.17,10.24,10,10.07,59996500,4.49845,"2013-03-06"
10.15,10.33,9.85,9.99,83045600,4.46271,"2013-03-07"
10.03,10.07,9.74,9.76,43271200,4.35996,"2013-03-08"
9.73,9.91,9.53,9.74,36540000,4.35103,"2013-03-11"
9.72,9.97,9.47,9.62,56829000,4.29742,"2013-03-12"
9.62,9.66,9.24,9.37,46395600,4.18574,"2013-03-13"
9.31,9.49,9.28,9.34,27424200,4.17234,"2013-03-14"
9.37,9.67,9.1,9.33,70345300,4.16788,"2013-03-15"
9.25,9.41,9.19,9.25,34709500,4.13214,"2013-03-18"
9.29,9.46,9.17,9.43,48137500,4.21255,"2013-03-19"
9.46,9.93,9.41,9.9,90070600,4.4225,"2013-03-20"
9.89,9.95,9.8,9.89,51110800,4.41804,"2013-03-21"
9.88,9.9,9.76,9.82,43174100,4.38677,"2013-03-22"
9.87,9.94,9.6,9.63,46876400,4.30189,"2013-03-25"
9.6,9.62,9.28,9.36,46800100,4.18128,"2013-03-26"
9.34,9.52,9.23,9.36,39975500,4.18128,"2013-03-27"
9.2,9.2,8.76,8.77,75171000,3.91771,"2013-03-28"
8.79,8.85,8.68,8.7,29287800,3.88644,"2013-03-29"
8.72,8.87,8.71,8.77,26654000,3.91771,"2013-04-01"
8.81,8.96,8.75,8.88,36681400,3.96685,"2013-04-02"
8.9,8.96,8.78,8.81,25533200,3.93558,"2013-04-03"
8.81,8.81,8.81,8.81,0,3.93558,"2013-04-04"
8.81,8.81,8.81,8.81,0,3.93558,"2013-04-05"
8.62,8.71,8.5,8.7,32030500,3.88644,"2013-04-08"
8.74,8.94,8.74,8.83,32471600,3.94452,"2013-04-09"
8.9,9.01,8.79,8.96,38054700,4.00259,"2013-04-10"
9.06,9.1,8.87,8.92,35783000,3.98472,"2013-04-11"
8.89,9.02,8.72,8.74,33588000,3.90431,"2013-04-12"
8.69,8.86,8.63,8.75,27481400,3.90878,"2013-04-15"
8.64,9.08,8.62,9.04,48373500,4.03833,"2013-04-16"
9.05,9.13,8.92,9.09,42560100,4.06066,"2013-04-17"
9.03,9.26,8.98,9.19,45631900,4.10533,"2013-04-18"
9.19,9.57,9.19,9.5,82235900,4.24382,"2013-04-19"
9.45,9.64,9.41,9.55,55691600,4.26615,"2013-04-22"
9.51,9.53,9.06,9.06,62842000,4.04726,"2013-04-23"
9.12,9.67,9.04,9.61,92708700,4.29296,"2013-04-24"
9.5,10.45,9.46,9.92,146940800,4.43144,"2013-04-25"
9.93,10.04,9.8,9.89,87604500,4.41804,"2013-04-26"
9.89,9.89,9.89,9.89,0,4.41804,"2013-04-29"
9.89,9.89,9.89,9.89,0,4.41804,"2013-04-30"
9.89,9.89,9.89,9.89,0,4.41804,"2013-05-01"
9.83,10.05,9.73,9.82,100910100,4.38677,"2013-05-02"
9.96,10.25,9.9,10.02,137664600,4.47611,"2013-05-03"
10.07,10.22,9.95,10.15,94743200,4.53418,"2013-05-06"
10,10,9.76,9.86,84356200,4.40464,"2013-05-07"
9.85,9.97,9.6,9.68,79509500,4.32423,"2013-05-08"
9.69,9.95,9.56,9.94,78015600,4.44037,"2013-05-09"
9.8,10.04,9.77,9.82,60886700,4.38677,"2013-05-10"
9.8,9.87,9.54,9.6,61233800,4.28849,"2013-05-13"
9.6,9.67,9.46,9.47,55825100,4.23042,"2013-05-14"
9.52,9.6,9.43,9.52,42434900,4.25275,"2013-05-15"
9.5,9.85,9.38,9.8,81199400,4.37783,"2013-05-16"
9.8,9.95,9.72,9.9,84147300,4.4225,"2013-05-17"
9.94,10.12,9.87,9.98,86935800,4.45824,"2013-05-20"
9.95,9.99,9.82,9.99,55756200,4.46271,"2013-05-21"
10.03,10.16,9.92,9.97,60722700,4.45377,"2013-05-22"
9.9,10.06,9.72,9.73,65612200,4.34656,"2013-05-23"
9.8,9.91,9.73,9.86,44928700,4.40464,"2013-05-24"
9.85,10.13,9.81,10.05,74860000,4.48951,"2013-05-27"
10.09,10.32,10.01,10.29,101425300,4.59672,"2013-05-28"
10.29,10.35,10.16,10.17,77861400,4.54312,"2013-05-29"
10.1,10.36,10.09,10.22,63470500,4.56545,"2013-05-30"
10.3,10.33,10.02,10.04,54331500,4.48504,"2013-05-31"
10.08,10.18,9.95,9.99,47799900,4.46271,"2013-06-03"
9.96,9.98,9.74,9.79,43729100,4.37337,"2013-06-04"
9.83,9.91,9.7,9.85,33085700,4.40017,"2013-06-05"
9.76,9.91,9.75,9.76,27217800,4.35996,"2013-06-06"
9.88,10.07,9.68,9.75,88526800,4.3555,"2013-06-07"
9.75,9.75,9.75,9.75,0,4.3555,"2013-06-10"
9.75,9.75,9.75,9.75,0,4.3555,"2013-06-11"
9.75,9.75,9.75,9.75,0,4.3555,"2013-06-12"
9.5,9.53,9.02,9.07,64737700,4.05173,"2013-06-13"
9.15,9.17,8.96,9.09,37469600,4.06066,"2013-06-14"
9.12,9.14,8.94,8.98,37464600,4.01152,"2013-06-17"
9.03,9.11,8.87,9.02,34889100,4.02939,"2013-06-18"
8.96,8.96,8.59,8.89,47813800,3.97132,"2013-06-19"
8.8,8.95,8.65,8.67,33858200,3.87304,"2013-06-20"
8.51,8.83,8.4,8.72,37165400,3.89538,"2013-06-21"
8.72,8.72,7.97,7.97,54624100,3.56034,"2013-06-24"
7.89,8.01,7.19,7.82,71804200,3.49333,"2013-06-25"
7.85,7.94,7.51,7.84,60210700,3.50227,"2013-06-26"
7.87,7.98,7.64,7.66,52936100,3.42186,"2013-06-27"
7.56,8.1,7.52,7.91,60059400,3.53354,"2013-06-28"
7.8,7.91,7.68,7.88,36069100,3.52013,"2013-07-01"
7.88,8,7.75,7.92,45628400,3.538,"2013-07-02"
7.86,7.86,7.63,7.78,41701400,3.47546,"2013-07-03"
7.64,8,7.6,7.87,50673100,3.51567,"2013-07-04"
7.89,8.02,7.86,7.87,43903200,3.51567,"2013-07-05"
7.73,7.84,7.57,7.57,38330600,3.38165,"2013-07-08"
7.6,7.71,7.56,7.66,25872900,3.42186,"2013-07-09"
7.59,7.96,7.56,7.94,59338800,3.54694,"2013-07-10"
7.94,8.68,7.9,8.56,131378200,3.8239,"2013-07-11"
8.46,8.6,8.23,8.24,81695800,3.68095,"2013-07-12"
8.4,8.84,8.28,8.58,101064400,3.83284,"2013-07-15"
8.5,8.64,8.46,8.64,46287800,3.85964,"2013-07-16"
8.6,8.73,8.46,8.49,52497200,3.79263,"2013-07-17"
8.44,8.59,8.33,8.34,44930800,3.72563,"2013-07-18"
8.37,8.53,8.09,8.09,48848600,3.61395,"2013-07-19"
7.88,8.05,7.77,8.03,31562400,3.77373,"2013-07-22"
8.04,8.46,8.01,8.36,54169800,3.92881,"2013-07-23"
8.27,8.38,8.09,8.28,44409800,3.89122,"2013-07-24"
8.32,8.49,8.24,8.27,43834700,3.88652,"2013-07-25"
8.2,8.3,8.16,8.18,24864300,3.84422,"2013-07-26"
8.14,8.14,7.8,7.83,36249100,3.67974,"2013-07-29"
7.87,8.19,7.85,8.01,40169600,3.76433,"2013-07-30"
8.1,8.25,8,8.05,31096700,3.78313,"2013-07-31"
8.1,8.34,8.08,8.31,42446200,3.90532,"2013-08-01"
8.37,8.43,8.25,8.28,37129200,3.89122,"2013-08-02"
8.28,8.38,8.24,8.38,26986700,3.93821,"2013-08-05"
8.36,8.43,8.25,8.37,41081000,3.93351,"2013-08-06"
8.35,8.49,8.2,8.22,64014500,3.86302,"2013-08-07"
8.18,8.28,8.12,8.15,31018600,3.83012,"2013-08-08"
8.2,8.28,8.09,8.24,31582600,3.87242,"2013-08-09"
8.29,8.53,8.23,8.51,76779800,3.99931,"2013-08-12"
8.52,8.56,8.43,8.49,39715700,3.98991,"2013-08-13"
8.51,8.63,8.4,8.46,65973600,3.97581,"2013-08-14"
8.42,8.54,8.29,8.32,41880400,3.91002,"2013-08-15"
8.24,9.05,8.24,8.4,108070200,3.94761,"2013-08-16"
8.15,8.31,8.06,8.19,77738700,3.84892,"2013-08-19"
8.19,8.31,8.1,8.14,41888200,3.82543,"2013-08-20"
8.22,8.24,8.11,8.19,24200900,3.84892,"2013-08-21"
8.15,8.25,8.11,8.13,30642100,3.82073,"2013-08-22"
8.19,8.21,7.96,8.1,37092900,3.80663,"2013-08-23"
8.3,8.49,8.19,8.48,72779400,3.98521,"2013-08-26"
8.43,8.48,8.35,8.47,42313300,3.98051,"2013-08-27"
8.37,8.45,8.28,8.36,45076500,3.92881,"2013-08-28"
8.48,8.53,8.34,8.38,46573400,3.93821,"2013-08-29"
8.36,8.62,8.3,8.48,77239300,3.98521,"2013-08-30"
8.48,8.62,8.4,8.54,48009700,4.01341,"2013-09-02"
8.55,8.6,8.45,8.57,49122700,4.0275,"2013-09-03"
8.52,8.57,8.42,8.46,43165100,3.97581,"2013-09-04"
8.48,8.5,8.36,8.38,27568600,3.93821,"2013-09-05"
8.42,8.52,8.38,8.48,35715200,3.98521,"2013-09-06"
8.5,9.01,8.47,8.88,127903100,4.17319,"2013-09-09"
8.89,9.1,8.8,9.1,89394500,4.27658,"2013-09-10"
9.2,9.29,9.04,9.05,88742000,4.25308,"2013-09-11"
9.01,9.42,9.01,9.25,96668200,4.34707,"2013-09-12"
9.2,9.29,9.1,9.13,55896900,4.29068,"2013-09-13"
9.21,9.21,8.98,9.05,49087200,4.25308,"2013-09-16"
9.11,9.18,8.92,8.93,49779300,4.19669,"2013-09-17"
8.92,8.97,8.76,8.94,39592100,4.20139,"2013-09-18"
8.94,8.94,8.94,8.94,0,4.20139,"2013-09-20"
8.95,9.1,8.89,9.08,38303300,4.26718,"2013-09-23"
9.05,9.06,8.82,8.88,45011100,4.17319,"2013-09-24"
8.83,8.96,8.8,8.85,41854200,4.15909,"2013-09-25"
8.81,9.06,8.65,9,69292800,4.22959,"2013-09-26"
8.88,9.3,8.88,9.24,78769900,4.34237,"2013-09-27"
9.23,9.27,9.08,9.12,52868900,4.28598,"2013-09-30"
9.12,9.12,9.12,9.12,0,4.28598,"2013-10-01"
9.12,9.12,9.12,9.12,0,4.28598,"2013-10-02"
9.12,9.12,9.12,9.12,0,4.28598,"2013-10-03"
9.12,9.12,9.12,9.12,0,4.28598,"2013-10-04"
9.12,9.12,9.12,9.12,0,4.28598,"2013-10-07"
9.08,9.41,9.01,9.39,73481900,4.41287,"2013-10-08"
9.35,9.43,9.3,9.39,46496900,4.41287,"2013-10-09"
9.41,9.44,8.97,9.05,83348800,4.25308,"2013-10-10"
9.12,9.2,9.01,9.1,76105900,4.27658,"2013-10-11"
9.1,9.12,8.9,8.98,58791300,4.22019,"2013-10-14"
8.99,9.09,8.93,9.03,39321600,4.24368,"2013-10-15"
9.06,9.15,8.76,8.88,51397300,4.17319,"2013-10-16"
8.95,9.47,8.85,9.18,99189100,4.31418,"2013-10-17"
9.13,10.01,9.11,9.64,174453300,4.53036,"2013-10-18"
9.54,9.78,9.27,9.73,186256400,4.57265,"2013-10-21"
9.65,9.96,9.55,9.72,134096800,4.56795,"2013-10-22"
9.78,9.98,9.61,9.75,139018800,4.58205,"2013-10-23"
9.67,9.73,9.43,9.44,83866700,4.43636,"2013-10-24"
9.46,9.91,9.45,9.53,116750100,4.47866,"2013-10-25"
9.5,9.7,9.3,9.51,67567100,4.46926,"2013-10-28"
9.56,9.96,9.42,9.91,172837900,4.65724,"2013-10-29"
9.91,10.26,9.76,10.26,183840900,4.82173,"2013-10-30"
10.29,10.39,9.93,9.95,131940600,4.67604,"2013-10-31"
9.9,10.14,9.82,9.98,83802100,4.69014,"2013-11-01"
10,10.08,9.65,9.68,91517200,4.54915,"2013-11-04"
9.61,9.66,9.4,9.61,92482100,4.51626,"2013-11-05"
9.52,9.73,9.41,9.45,68752900,4.44106,"2013-11-06"
9.42,9.54,9.25,9.38,65741600,4.40817,"2013-11-07"
9.27,9.38,9.01,9.05,70648800,4.25308,"2013-11-08"
9.05,9.22,8.94,9.06,50398200,4.25778,"2013-11-11"
9.07,9.24,9.07,9.18,48156300,4.31418,"2013-11-12"
9.09,9.11,8.73,8.73,69264500,4.1027,"2013-11-13"
8.79,8.8,8.6,8.78,52899100,4.1262,"2013-11-14"
8.8,9.65,8.79,9.29,144123500,4.36587,"2013-11-15"
9.44,9.89,9.3,9.86,163678800,4.63375,"2013-11-18"
9.78,9.79,9.61,9.68,76023600,4.54915,"2013-11-19"
9.9,10.07,9.72,9.83,87982600,4.61965,"2013-11-20"
9.76,9.87,9.5,9.78,115624200,4.59615,"2013-11-21"
9.79,9.89,9.63,9.77,94632500,4.59145,"2013-11-22"
9.68,10.17,9.56,9.86,115054200,4.63375,"2013-11-25"
9.88,10.33,9.82,9.99,128590500,4.69484,"2013-11-26"
10.05,10.32,10.01,10.23,141769900,4.80763,"2013-11-27"
10.3,10.39,10.05,10.07,124124300,4.73244,"2013-11-28"
10.12,10.18,9.97,10.02,81155200,4.70894,"2013-11-29"
10.3,10.77,10.13,10.46,220800200,4.91572,"2013-12-02"
10.29,10.45,10.18,10.37,84721000,4.87342,"2013-12-03"
10.4,10.62,10.32,10.4,99490300,4.88752,"2013-12-04"
10.3,10.55,10.28,10.38,78477900,4.87812,"2013-12-05"
10.44,10.59,10.26,10.29,73979800,4.83583,"2013-12-06"
10.32,10.53,10.15,10.17,72904900,4.77943,"2013-12-09"
10.17,10.31,10.11,10.2,56829300,4.79353,"2013-12-10"
10.12,10.2,9.79,9.86,73612600,4.63375,"2013-12-11"
9.81,10.01,9.81,9.9,44340700,4.65254,"2013-12-12"
9.86,10.24,9.82,10.16,66706200,4.77473,"2013-12-13"
10.33,10.4,9.89,10.04,80880500,4.71834,"2013-12-16"
10.01,10.15,9.92,9.95,45149300,4.67604,"2013-12-17"
9.94,10.17,9.94,10.12,47544600,4.75593,"2013-12-18"
10.22,10.29,10.02,10.11,60232800,4.75123,"2013-12-19"
10.14,10.17,9.9,9.93,53634500,4.66664,"2013-12-20"
9.97,9.98,9.64,9.71,58251500,4.56325,"2013-12-23"
9.75,9.91,9.65,9.73,37034300,4.57265,"2013-12-24"
9.8,9.95,9.7,9.93,44312500,4.66664,"2013-12-25"
9.89,10.11,9.86,9.89,68119600,4.64784,"2013-12-26"
9.89,10.28,9.89,10.22,85283800,4.80293,"2013-12-27"
10.32,10.36,10.12,10.29,70437400,4.83583,"2013-12-30"
10.2,10.49,10.17,10.4,82393300,4.88752,"2013-12-31"
